2024-03-21 21:51:45 n_try: 8, i: 16, D9, local: -5, energy: -5.004901627062612, grad_norm: 6.43194762383606, eta: 0.0009990003395612852, learning_rate: 0.024706935851357886, t_old: [(-0.013020638877134005+0j), (0.2080949665850345-1.5980480188380698e-07j), (0.9780217351725401+3.4001877674339625e-08j), (0.2080949665850345+1.5980480188380698e-07j), (-0.9561249665814305+0j), (0.2062063866592003-1.6126840549934186e-07j), (0.9780217351725401-3.4001877674339625e-08j), (0.2062063866592003+1.6126840549934186e-07j), (-0.030854136970237922+0j), (0.4671558621214926+0j), (0.49624341374086645+1.1410067767950327e-07j), (0.7317838221670527-7.737491168760524e-08j), (0.49624341374086645-1.1410067767950327e-07j), (0.5378429286589241+0j), (-0.6815182643340418-8.308171902634327e-08j), (0.7317838221670527+7.737491168760524e-08j), (-0.6815182643340418+8.308171902634327e-08j), (-0.004998971498295091+0j), (-0.38782952484282707+0j), (0.7173741648952139+7.347964936511814e-08j), (-0.5787592732638336+9.107828388773252e-08j), (0.7173741648952139-7.347964936511814e-08j), (-0.15934217991632704+0j), (-0.6782212843447993-7.77215389646218e-08j), (-0.5787592732638336-9.107828388773252e-08j), (-0.6782212843447993+7.77215389646218e-08j), (-0.452828136371157+0j)]
2024-03-21 21:56:09 n_try: 9, i: 52, D9, local: -5, energy: -5.012960567631871, grad_norm: 6.198625489643841, eta: 0.0009962625552147537, learning_rate: 0.000556607722390573, t_old: [(0.10066007821264511+0j), (0.03733207203628468-1.0426295308925936e-21j), (0.994220229641586-1.1563907866468063e-22j), (0.03733207203628468+1.0426295308925936e-21j), (-0.9987337747204098+0j), (0.033721856518657604-1.2667659328022775e-21j), (0.994220229641586+1.1563907866468063e-22j), (0.033721856518657604+1.2667659328022775e-21j), (-0.10192630348066795+0j), (0.5371948116747494+0j), (0.4177185234330756+1.636493828445084e-19j), (0.7327571012740085-9.314672829802246e-20j), (0.4177185234330756-1.636493828445084e-19j), (0.622975780672978+0j), (-0.6613716140360508-1.0337275430703613e-19j), (0.7327571012740085+9.314672829802246e-20j), (-0.6613716140360508+1.0337275430703613e-19j), (-0.16017059235929432+0j), (-0.25769175391725624+0j), (0.8195863791655916-3.325117837452534e-19j), (-0.5117354072429905-5.3252655500771535e-19j), (0.8195863791655916+3.325117837452534e-19j), (-0.09509043382236287+0j), (-0.5650097135966565+4.826020620610198e-19j), (-0.5117354072429905+5.3252655500771535e-19j), (-0.5650097135966565-4.826020620610198e-19j), (-0.6472178122488136+0j)]
2024-03-21 21:59:47 n_try: 1, i: 14, D9, local: -5, energy: -5.009737233920599, grad_norm: 6.454603830882461, eta: 0.000999748101206202, learning_rate: 0.03050238993994801, t_old: [(0.10515652406005427+0j), (0.34080961952019717+2.080655221116979e-07j), (0.9342324593381361-7.590266599567725e-08j), (0.34080961952019717-2.080655221116979e-07j), (-0.8949003186185004+0j), (0.2880999186034271+2.4613243476142553e-07j), (0.9342324593381361+7.590266599567725e-08j), (0.2880999186034271-2.4613243476142553e-07j), (-0.21025583434935408+0j), (0.4752608654219172+0j), (0.5716556519116515-1.5862857330268563e-07j), (0.66883215620966+1.355810275909879e-07j), (0.5716556519116515+1.5862857330268563e-07j), (0.377232528414336+0j), (-0.7286322568637519+1.244536486559714e-07j), (0.66883215620966-1.355810275909879e-07j), (-0.7286322568637519-1.244536486559714e-07j), (0.14750633329926777+0j), (-0.5213270491974906+0j), (0.6255774883403715-1.1647663894315197e-07j), (-0.5804054889069543-1.2554182554588568e-07j), (0.6255774883403715+1.1647663894315197e-07j), (-0.18243249648904175+0j), (-0.7585320140995869+9.60607509863574e-08j), (-0.5804054889069543+1.2554182554588568e-07j), (-0.7585320140995869-9.60607509863574e-08j), (-0.2962402324424876+0j)]
2024-03-21 22:06:34 n_try: 13, i: 19, D9, local: -5, energy: -5.00073478431382, grad_norm: 5.097488295006188, eta: 0.0009970462740416834, learning_rate: 0.0180113562356399, t_old: [(-0.07323416378170294+0j), (0.06413585606947439+9.313760664558634e-09j), (0.9952503860926845-6.001967161466556e-10j), (0.06413585606947439-9.313760664558634e-09j), (-0.9955615357968174+0j), (0.06887525810786958+8.672867875716012e-09j), (0.9952503860926845+6.001967161466556e-10j), (0.06887525810786958-8.672867875716012e-09j), (0.06879571021281211+0j), (0.769041175455809+0j), (0.3335313497830363-6.1476087758860466e-09j), (0.5452820317113313+3.760293084748774e-09j), (0.3335313497830363+6.1476087758860466e-09j), (0.5183419949373212+0j), (-0.7874505698957244+2.603871698724348e-09j), (0.5452820317113313-3.760293084748774e-09j), (-0.7874505698957244-2.603871698724348e-09j), (-0.2873831782972265+0j), (-0.13945972587892957+0j), (0.8540910788938756-2.845329672966439e-09j), (-0.5010782364661801-4.849882739565199e-09j), (0.8540910788938756+2.845329672966439e-09j), (-0.15230976886038217+0j), (-0.49732298208300807+4.886503897314303e-09j), (-0.5010782364661801+4.849882739565199e-09j), (-0.49732298208300807-4.886503897314303e-09j), (-0.7082304974330076+0j)]
2024-03-21 22:06:38 n_try: 10, i: 29, D9, local: -5, energy: -5.001832155518713, grad_norm: 5.21936659016873, eta: 0.0009991529661814139, learning_rate: 0.006280171596328331, t_old: [(-0.02672777748234606+0j), (0.25500913302041195-1.02676442091396e-19j), (0.9665691739156066+2.717597381672625e-20j), (0.25500913302041195+1.02676442091396e-19j), (-0.933184512584121+0j), (0.25325285294776106-1.0381087992941157e-19j), (0.9665691739156066-2.717597381672625e-20j), (0.25325285294776106+1.0381087992941157e-19j), (-0.04008770992196592+0j), (0.7224970628463695+0j), (0.4079713299498582-4.979503189261539e-19j), (0.5581732599239946+3.6350343307787234e-19j), (0.4079713299498582+4.979503189261539e-19j), (0.40022038044570635+0j), (-0.8205991963143175+2.475041250987169e-19j), (0.5581732599239946-3.6350343307787234e-19j), (-0.8205991963143175-2.475041250987169e-19j), (-0.1227174433036427+0j), (-0.28404544450954367+0j), (0.7553564899575965-2.623502496243044e-19j), (-0.5905546194122785-3.3536977864190435e-19j), (0.7553564899575965+2.623502496243044e-19j), (-0.20307312445591952+0j), (-0.6230552777880272+3.1769923552603494e-19j), (-0.5905546194122785+3.3536977864190435e-19j), (-0.6230552777880272-3.1769923552603494e-19j), (-0.5128814310229697+0j)]
2024-03-21 22:09:11 n_try: 17, i: 17, D9, local: -5, energy: -5.012823214852802, grad_norm: 5.231448720886309, eta: 0.0009989890084104054, learning_rate: 0.0222362422662221, t_old: [(-0.1035401668066605+0j), (-0.14868969484535904+3.7256899956241724e-08j), (0.9834483771544915+5.632951588391493e-09j), (-0.14868969484535904-3.7256899956241724e-08j), (-0.9753377988391728+0j), (-0.1631179022998133+3.396142919867919e-08j), (0.9834483771544915-5.632951588391493e-09j), (-0.1631179022998133-3.396142919867919e-08j), (0.07887802256554977+0j), (0.7289364431464123+0j), (0.2803260057518652-2.2873755012654525e-08j), (0.6245549923434195+1.0266683400971448e-08j), (0.2803260057518652+2.2873755012654525e-08j), (0.7100949836147897+0j), (-0.6458965791225404+9.927453704671331e-09j), (0.6245549923434195-1.0266683400971448e-08j), (-0.6458965791225404-9.927453704671331e-09j), (-0.4390314577693692+0j), (0.022803589110518052+0j), (0.9226037588060124-8.246151797327631e-09j), (-0.38507433318570955-1.9757044257502553e-08j), (0.9226037588060124+8.246151797327631e-09j), (-0.16777985257539235+0j), (-0.3473502066769321+2.190276698890356e-08j), (-0.38507433318570955+1.9757044257502553e-08j), (-0.3473502066769321-2.190276698890356e-08j), (-0.8550237013623726+0j)]
2024-03-21 22:10:01 n_try: 18, i: 11, D9, local: -5, energy: -5.011120318255675, grad_norm: 6.196980463786922, eta: 0.00099121885270975, learning_rate: 0.04184141281200001, t_old: [(-0.15697355916134803+0j), (-0.5154030616395915+2.4646319348414616e-05j), (0.8424055823809327+1.5079182256837285e-05j), (-0.5154030616395915-2.4646319348414616e-05j), (-0.6848446273112369+0j), (-0.5150466945327856+2.4663372340032112e-05j), (0.8424055823809327-1.5079182256837285e-05j), (-0.5150466945327856-2.4663372340032112e-05j), (-0.15813889759192135+0j), (0.5252927615169722+0j), (0.16576456553668914-1.2046834790096439e-05j), (0.8346031829976501+2.392679921651377e-06j), (0.16576456553668914+1.2046834790096439e-05j), (0.9421003523926303+0j), (-0.29144643632658385+6.851819214104951e-06j), (0.8346031829976501-2.392679921651377e-06j), (-0.29144643632658385-6.851819214104951e-06j), (-0.4674092366501189+0j), (0.1783510191033001+0j), (0.9734304922203223-2.6011031045161563e-06j), (-0.14343169467061956-1.7652954885080803e-05j), (0.9734304922203223+2.6011031045161563e-06j), (-0.19580659996635752+0j), (-0.11849107895457782+2.136864092707763e-05j), (-0.14343169467061956+1.7652954885080803e-05j), (-0.11849107895457782-2.136864092707763e-05j), (-0.9825128997485063+0j)]
2024-03-21 22:20:26 n_try: 4, i: 11, D9, local: -5, energy: -5.005691429367302, grad_norm: 5.857677386738755, eta: 0.0009999882507599467, learning_rate: 0.04184141281200001, t_old: [(-0.0038057084295756716+0j), (0.4340451488760514+2.1123115839213983e-08j), (0.9008830431834625-1.017711013473961e-08j), (0.4340451488760514-2.1123115839213983e-08j), (-0.8108850503135745+0j), (0.3925177365851073+2.3357889595427668e-08j), (0.9008830431834625+1.017711013473961e-08j), (0.3925177365851073-2.3357889595427668e-08j), (-0.18530920261165956+0j), (0.6147038201704453+0j), (0.5536387817882518-1.4865727354500253e-08j), (0.5618035809328445+1.464968085006201e-08j), (0.5536387817882518+1.4865727354500253e-08j), (0.20446672859647974+0j), (-0.8072653889272461+1.0195213716162083e-08j), (0.5618035809328445-1.464968085006201e-08j), (-0.8072653889272461-1.0195213716162083e-08j), (0.18082942327165008+0j), (-0.5574820729966888+0j), (0.5854904651889083-1.1807279963836515e-08j), (-0.5885699752885287-1.1745502045861813e-08j), (0.5854904651889083+1.1807279963836515e-08j), (-0.22534413300192196+0j), (-0.7787303128044393+8.877334981747634e-09j), (-0.5885699752885287+1.1745502045861813e-08j), (-0.7787303128044393-8.877334981747634e-09j), (-0.21717377216106276+0j)]
2024-03-21 22:23:43 n_try: 12, i: 33, D9, local: -5, energy: -5.015715537945669, grad_norm: 5.990911606251129, eta: 0.0009999856230525912, learning_rate: 0.004120420584351018, t_old: [(0.0799858680203413+0j), (0.17684391824885987+1.1656268609659046e-19j), (0.9809834297643814-2.1127836741326937e-20j), (0.17684391824885987-1.1656268609659046e-19j), (-0.9710424253126915+0j), (0.1606326143661438+1.280907048325238e-19j), (0.9809834297643814+2.1127836741326937e-20j), (0.1606326143661438-1.280907048325238e-19j), (-0.10894344269608253+0j), (0.569171600876198+0j), (0.4574094668866884-1.5731067806379702e-20j), (0.6832424667241692+1.059736847977527e-20j), (0.4574094668866884+1.5731067806379702e-20j), (0.5143694778856884+0j), (-0.7253968705466727+9.900190714499832e-21j), (0.6832424667241692-1.059736847977527e-20j), (-0.7253968705466727-9.900190714499832e-21j), (-0.08354107877345307+0j), (-0.3279383771911092+0j), (0.7584861967128161+1.5035373967052972e-19j), (-0.5631652600598293+2.0280683490699725e-19j), (0.7584861967128161-1.5035373967052972e-19j), (-0.1439753571747362+0j), (-0.6355861750379728-1.7968622547620501e-19j), (-0.5631652600598293-2.0280683490699725e-19j), (-0.6355861750379728+1.7968622547620501e-19j), (-0.5280862656225876+0j)]
2024-03-21 22:25:50 n_try: 7, i: 28, D9, local: -5, energy: -5.014839621860315, grad_norm: 5.884884329306875, eta: 0.0009988717010406436, learning_rate: 0.006977968440364812, t_old: [(-0.038089700195132026+0j), (-0.3045091946119735+4.4857023830809463e-20j), (0.9517475112195871+1.4372434120986096e-20j), (-0.3045091946119735-4.4857023830809463e-20j), (-0.9036023944911655+0j), (-0.3012919896768994+4.55702426165573e-20j), (0.9517475112195871-1.4372434120986096e-20j), (-0.3012919896768994-4.55702426165573e-20j), (-0.05830790530213531+0j), (0.5791826687483308+0j), (0.2571883002500986-1.485029104113065e-19j), (0.7735642277231362+4.93109803183634e-20j), (0.2571883002500986+1.485029104113065e-19j), (0.8428158327142132+0j), (-0.4727744180024741+8.084297856480593e-20j), (0.7735642277231362-4.93109803183634e-20j), (-0.4727744180024741-8.084297856480593e-20j), (-0.4219985014741115+0j), (0.07447529484222071+0j), (0.9431363278586059+2.676601230186585e-19j), (-0.32395570300338095+7.794682458542277e-19j), (0.9431363278586059-2.676601230186585e-19j), (-0.17214836188556792+0j), (-0.2843568331346479-8.877698341654263e-19j), (-0.32395570300338095-7.794682458542277e-19j), (-0.2843568331346479+8.877698341654263e-19j), (-0.902326932945086+0j)]
2024-03-21 22:33:05 n_try: 3, i: 24, D9, local: -5, energy: -5.015900790829302, grad_norm: 5.916988831121222, eta: 0.0009999095901832825, learning_rate: 0.010635525743583008, t_old: [(0.06192721929265321+0j), (0.22559045970432068+5.1315034084293245e-11j), (0.9722520063705868-1.1906565431143843e-11j), (0.22559045970432068-5.1315034084293245e-11j), (-0.9520767010716263+0j), (0.20654031000635484+5.6048052452495916e-11j), (0.9722520063705868+1.1906565431143843e-11j), (0.20654031000635484-5.6048052452495916e-11j), (-0.10985051816630614+0j), (0.5894550545200121+0j), (0.47274239513239397-3.839759869582459e-11j), (0.6550247067369723+2.7712195567754013e-11j), (0.47274239513239397+3.839759869582459e-11j), (0.45563725806810795+0j), (-0.7542607750607366+2.4066176281605823e-11j), (0.6550247067369723-2.7712195567754013e-11j), (-0.7542607750607366-2.4066176281605823e-11j), (-0.04509231264284047+0j), (-0.36740860040404477+0j), (0.7318559369409338-2.3032001734737016e-11j), (-0.5739318842894239-2.9369525671260565e-11j), (0.7318559369409338+2.3032001734737016e-11j), (-0.15330320194245056+0j), (-0.6639917286601241+2.5386019857536104e-11j), (-0.5739318842894239+2.9369525671260565e-11j), (-0.6639917286601241-2.5386019857536104e-11j), (-0.4792881975987844+0j)]
